company,address,phone,website,emails
"Broadstone Marina Bay","5127 W Tyson Ave, Tampa, FL 33611, USA","(813) 590-0441",https://broadstonemarinabay.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic,
"Sweetwater Villas Apartments","8437 N Lois Ave, Tampa, FL 33614, USA","(813) 488-8015",https://www.sweetwater-villas.com/,"sweetwatervillas@carteretmgmt.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
"NoHo Flats","401 N Rome Ave, Tampa, FL 33606, USA","(813) 945-9768",https://www.nohoflats.com/?utm_source=GoogleLocalListing&utm_medium=organic,
"Waterford at Cypress Lake Apartments","4733 W Waters Ave, Tampa, FL 33614, USA","(813) 680-3410",https://www.waterford-apartmentliving.com/?utm_knock=g&utm_source=google+biz&utm_medium=organic,
"Grande Oasis at Carrollwood","3516 Grand Cayman Dr, Tampa, FL 33614, USA","(813) 896-3419",https://www.grandeoasis.com/?utm_knock=g,
"Haven Waters Edge Apartments","8415 N Armenia Ave, Tampa, FL 33604, USA","(833) 350-6278",https://www.havenatwatersedge.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D?utm_source=google_business_profile&utm_medium=organic,
"Hite & Notch Apartments","6307 N Nebraska Ave, Tampa, FL 33604, USA","(813) 544-3736",http://www.thehiteandnotch.com/,
"Deerpath On the Lake Apartment","10200 N Armenia Ave, Tampa, FL 33612, USA","(772) 425-1661",https://maxxproperties.com/fl/tampa/deerpath-on-the-lake/index.aspx?utm_source=GMB&utm_medium=Yext,
"Hamilton Point on Egypt Lake","3445 Carlton Arms Dr, Tampa, FL 33614, USA","(813) 722-0735",http://www.hamiltonpointtampa.com/?utm_source=gmb&utm_medium=organic,user@domain.com
"Manor Riverside Apartments","901 W Chestnut St, Tampa, FL 33607, USA","(813) 328-5723",https://manorriverside.com/?utm_knock=gmb,manorriversidemgr@relatedgroup.com
"Woodridge of Carrollwood","8609 Postwood Cir, Tampa, FL 33614, USA","(813) 933-8241",https://www.rentcafe.com/apartments/fl/tampa/woodridge-at-carrollwood-apartments/default.aspx,
"Essex Place Apartments","3415 W Hillsborough Ave, Tampa, FL 33614, USA","(813) 279-8584",http://www.essexplaceapts.com/,
"MAA Hyde Park","502 S Fremont Ave, Tampa, FL 33606, USA","(813) 544-2583",https://www.maac.com/florida/tampa/maa-hyde-park/?utm_medium=local%20listing&utm_source=google&utm_campaign=gmb&utm_content=website,
"Channel Club Apartments","1115 E Twiggs St, Tampa, FL 33602, USA","(833) 712-3037",https://channelclubapartments.com/?utm_source=googleprofile&utm_medium=organic,
"2 Bayshore Luxury Waterfront Apartments","101 W Beach Pl, Tampa, FL 33606, USA","(866) 518-7062",https://www.2bayshore.com/?ilm=obl&utm_source=gmb&utm_medium=organic,
"Foxcroft Apartments","3808 Hunt Rd, Tampa, FL 33614, USA","(844) 835-8345",https://www.pacificaresidential-foxcroft.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Legacy Encore","1251 Ray Charles Blvd, Tampa, FL 33602, USA","(813) 221-5122",https://www.legacyencore.com/?rccustomid=NTI4MjQ%3D-pe6cx63G%2BzA%3D&utm_source=gmb&utm_medium=organic,
"The Commons","3408 Lancaster Ct, Tampa, FL 33614, USA","(813) 932-2741",http://www.mycommonsapts.com/,
"The Legacy Apartments","5205 N Blvd, Tampa, FL 33603, USA","(833) 678-0416",https://www.thelegacyapts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Edge at 1702","1702 W Cleveland St, Tampa, FL 33606, USA","(866) 570-5132",http://www.edge1702.com/,"tessa.m@assetliving-leasing.com, edge1702@assetliving.com"
"Courtney Cove Apartment Homes","5510 N Himes Ave, Tampa, FL 33614, USA","(656) 223-0741",https://livebh.com/apartments/courtney-cove-apartments/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp,
"Lofts at Rivers Edge","2021 N Rome Ave, Tampa, FL 33607, USA","(813) 640-3640",https://riversedgelofts.com/,
"Fernwood Grove Apartments","4900 N Mac Dill Ave, Tampa, FL 33614, USA","(813) 874-1658",https://www.fernwoodtampa.com/?utm_source=GBP&utm_id=organic,
"The MAV","601 N 12th St, Tampa, FL 33602, USA","(855) 729-5587",https://themavchannelside.com/?rccustomid=NTg4NzE%3D-3TNVZ66Il1o%3D&utm_source=gmb&utm_medium=organic,
"The Park on Waters","8420 Del Lago Cir unidad 203, Tampa, FL 33614, USA","(813) 932-9533",,
"Nine 15","915 N Franklin St, Tampa, FL 33602, USA","(855) 507-3168",https://livenine15.com/?utm_source=gmb&utm_medium=organic,
"The Park at Palermo Apartment Homes","4302 Gunn Hwy, Tampa, FL 33618, USA","(813) 567-8215",https://www.theparkatpalermo.com/?utm_source=seo,
"Grand Reserve","4255 W Humphrey St, Tampa, FL 33614, USA","(813) 882-0421",http://grandreservetampa.com/,
"Varela Westshore Apartments","1701 N Lois Ave, Tampa, FL 33607, USA","(656) 228-3156",https://varelawestshore.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,community-64z1m@aptprospect.com
"AVE Tampa Riverwalk","160 W Tyler St, Tampa, FL 33602, USA","(877) 709-3636",https://www.aveliving.com/locations/tampa-florida/tampa-riverwalk/?utm_source=Search+Engine&utm_medium=organic&utm_campaign=website,"abbgs@aveliving.com, avephxsky@aveliving.com, inquiries@franklinresidences.com, kingofprussia@aveliving.com, florhampark@aveliving.com, clifton@aveliving.com, union@aveliving.com, somerset@aveliving.com, avephxterra@aveliving.com, paradisevalley@aveliving.com, tampariverwalk@aveliving.com, lascolinas@aveliving.com, austin.northlamar@aveliving.com, santaclara@aveliving.com, hamiltongreen@aveliving.com, malvern@aveliving.com, bluebellvillas@aveliving.com, navyyard@aveliving.com, stationhouseleasing@aveliving.com, horshamleasing@aveliving.com"
"Lake Azzure Apartments","8505 Lincoln Cove Dr, Tampa, FL 33614, USA","(813) 933-1789",http://www.goldelm.com/,
"Trails at Hunter's Lake","8500 Hunters Village Rd, Tampa, FL 33647, USA","(813) 492-8511",https://www.trailsathunterslake.com/?ilm=obl&utm_source=gmb&utm_medium=organic,
"The Vintage Lofts at West End","801 N Rome Ave, Tampa, FL 33606, USA","(813) 694-3624",http://www.udr.com/tampa-apartments/north-hyde-park/the-vintage-lofts-at-west-end/,"dublinbmr@udr.com, beachandoceanbmr@udr.com, bellaterrabmr@udr.com, jamboreebmr@udr.com, losalisosbmr@udr.com, citylinebmr@udr.com, highlandsofmarinbmr@udr.com, maaffordablehousing@udr.com, support@gigstreem.com, vintagelofts@udr.com"
"MAA Harbour Island","800 Harbour Post Dr, Tampa, FL 33602, USA","(813) 797-4291",https://www.maac.com/florida/tampa/maa-harbour-island/?utm_medium=local%20listing&utm_source=google&utm_campaign=gmb&utm_content=website,
"The Gray NoHo Apartments","510 N Rome Ave, Tampa, FL 33606, USA","(813) 579-2270",https://thegraynoho.com/,
Belara,"8402 N Waterford Ave, Tampa, FL 33604, USA","(813) 565-9780",https://www.belaralakesapartments.com/,
"The Warehouse Lofts","4513 N Florida Ave, Tampa, FL 33603, USA","(813) 443-5160",http://www.warehouseloftstampa.com/,user@domain.com
"Legend Oaks","4714 N Habana Ave, Tampa, FL 33614, USA","(813) 945-4241",https://www.robbinspropertyllc.com/apartments/fl/tampa/legend-oaks/?utm_source=gbp&utm_medium=organic&utm_knock=g&cpm=gbp,
"Avion at Carrollwood","11500 N Dale Mabry Hwy, Tampa, FL 33618, USA","(813) 796-8872",https://www.avionatcarrollwood.com/avion-at-carrollwood-tampa-fl/?utm_knock=gmb,
"MAA Carrollwood","14009 Clubhouse Cir, Tampa, FL 33618, USA","(813) 590-5734",https://www.maac.com/florida/tampa/maa-carrollwood/?utm_medium=local%20listing&utm_source=google&utm_campaign=gmb&utm_content=website,
"The Fitzgerald Channelside","1211 E Kennedy Blvd, Tampa, FL 33602, USA","(813) 377-4257",https://www.fitzgeraldtampafl.com/?utm_source=gmb&utm_medium=organic&lvcode=866233,
"Rocky Creek Apartments","6820 W Hillsborough Ave, Tampa, FL 33634, USA","(813) 651-8743",https://www.irtliving.com/Apartments-In/Tampa-FL/Rocky-Creek?switch_cls[id]=101824&utm_source=google&utm_medium=organic&utm_campaign=rockycreek&utm_content=gmb-listing,
"Marquis Rental Apartments","2609 Gemini Ct, Tampa, FL 33614, USA","(813) 879-5491",http://marquisrentalapartments.com/,
"Coopers Pond","3701 Fountain Mist Dr, Tampa, FL 33614, USA","(813) 945-8812",https://www.robbinspropertyllc.com/apartments/fl/tampa/coopers-pond/?utm_source=gbp&utm_medium=organic&utm_knock=g&cpm=gbp,
"Altis Grand Central","504 W Grand Central Ave, Tampa, FL 33606, USA","(813) 940-8450",https://www.altisgrandcentral.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Magnolia Carillon","500 Trinity Ln N, St. Petersburg, FL 33716, USA","(855) 721-0483",https://www.magnoliacarillon.com/,
"Ascent St. Petersburg","225 1st Ave N, St. Petersburg, FL 33701, USA","(727) 478-1704",https://ascentstpete.com/?switch_cls[id]=64893&utm_source=gmb&utm_medium=organic,
"1701 Central","1701 Central Ave, St. Petersburg, FL 33713, USA","(727) 268-0513",https://1701central.com/?y_source=1_MjYwMzIxNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,1701central-g@m.knck.io
"930 Central Flats","930 Central Ave, St. Petersburg, FL 33705, USA","(727) 205-6167",https://www.live930.com/?utm_knock=g,
"Palmaris Gateway","540 Trinity Ln N, St. Petersburg, FL 33716, USA","(727) 607-1890",https://palmarisgateway.com/?utm_knock=g,
"Vantage St. Pete","160 16th St N, St. Petersburg, FL 33705, USA","(727) 609-5239",https://www.vantagestpete.com//?utm_source=online-business-listings&utm_medium=directories&utm_campaign=,"vantage@resprop.com, drivera@resprop.com"
"Lake Maggiore","825 32nd Ave S, St. Petersburg, FL 33705, USA","(727) 354-7721",https://www.lakemaggioreapartments.com/?https://lakemaggioreapartments.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic&utm_source=gmb&utm_medium=organic,
"Palmera at Gandy","10501 3rd St N, St. Petersburg, FL 33716, USA","(727) 914-2254",http://www.palmeraatgandy.com/,
"Windsor Central Arts Apartments","151 7th St S, St. Petersburg, FL 33701, USA","(727) 855-3272",https://www.windsorcommunities.com/properties/windsor-central-arts/?utm_campaign=GoogleMyBusiness,"grace@windsorcommunities.com, centralarts@windsorcommunities.com, email@address.com, email@example.com, carleneg40@gmail.com, mariano79@gmail.com, marianocg7@gmail.com, mariano42@gmail.com, marianog9@gmail.com"
"Evo Apartments","334 2nd Ave S, St. Petersburg, FL 33701, USA","(727) 594-0002",https://www.evostpete.com/?utm_knock=g,
"Camden Central Apartments","855 Central Ave, St. Petersburg, FL 33701, USA","(727) 335-2071",https://www.camdenliving.com/apartments/st-petersburg-fl/camden-central?utm_source=google&utm_medium=gmb&utm_campaign=camden-central&y_source=1_MjY2NjY2NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,central@camdenliving.com
"WaterView Echelon City Center","100 Main St N, St. Petersburg, FL 33716, USA","(727) 564-9065",https://www.waterviewstpete.com/?utm_source=GoogleLocalListing&utm_medium=organic&utm_campaign=WaterViewEchelonCityCenter_GoogleLocalListing,
"Carlton Arms of St. Petersburg","6699 31st Way S, St. Petersburg, FL 33712, USA","(727) 867-8685",https://www.carltonarmsofstpetersburg.com/,carltonarmsofstpetersburg-w@m.knck.io
"The Drake at St. Pete","1699 68th Way N, St. Petersburg, FL 33710, USA","(727) 231-1021",https://www.thedrakestpete.com/?utm_source=gbp&utm_medium=organic&cpm=gbp,
Avanti,"201 4th St S, St. Petersburg, FL 33701, USA","(727) 291-9284",https://avantistpete.com/?utm_source=googleprofile&utm_medium=organic&utm_campaign=top%20line%20local,
"Camden Pier District Apartments","330 3rd St S, St. Petersburg, FL 33701, USA","(727) 758-3943",https://www.camdenliving.com/apartments/st-petersburg-fl/camden-pier-district?utm_source=google&utm_medium=gmb&utm_campaign=camden-pier-district&y_source=1_MTE2Nzc0NTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,pierdistrict@camdenliving.com
"The Exchange Apartments","555 Dr. M.L.K. Jr St S, St. Petersburg, FL 33705, USA","(727) 312-1302",https://www.theexchangestpete.com/?utm_source=Google&utm_medium=Yext,
"Bridges at Bayside Apartments","500 110th Ave N, St. Petersburg, FL 33716, USA","(855) 419-1243",https://www.bridgesatbayside.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D?utm_source=google_business_profile&utm_medium=organic,
"Inlet Bay at Gateway","12000 4th St N, St. Petersburg, FL 33716, USA","(727) 291-4475",http://www.udr.com/tampa-apartments/st-petersburg/inlet-bay-at-gateway/,"dublinbmr@udr.com, beachandoceanbmr@udr.com, bellaterrabmr@udr.com, jamboreebmr@udr.com, losalisosbmr@udr.com, citylinebmr@udr.com, highlandsofmarinbmr@udr.com, maaffordablehousing@udr.com, support@gigstreem.com, inletbay@udr.com"
"TGM Bay Isle","11850 Dr M.L.K. Jr St N, St. Petersburg, FL 33716, USA","(727) 803-9214",https://tgmbayisle.com/,
"Lincoln Shores Apartments","11601 4th St N, St. Petersburg, FL 33716, USA","(844) 690-0641",https://www.lincolnshoresapts.com/,
"Cottonwood Bayview Apartments","235 3rd Ave N, St. Petersburg, FL 33701, USA","(727) 800-3413",https://www.cottonwoodbayview.com/?switch_cls[id]=94828,
"Elements on Third","3201 3rd Ave N, St. Petersburg, FL 33713, USA","(727) 327-1444",https://www.elementsonthirdstpete.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gmblisting,elementsonthird@willowbridgepc.com
"The Wayland Apartments","305 Dr. M.L.K. Jr St S, St. Petersburg, FL 33705, USA","(727) 761-8518",https://www.livewaybetter.com/?utm_knock=gmb,
"Bridgewater Luxury Rentals","115 112th Ave NE, St. Petersburg, FL 33716, USA","(833) 223-0810",https://www.pacificaresidential-bridgewater.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Sole on Central","1560 Central Ave, St. Petersburg, FL 33705, USA","(844) 517-3740",https://www.soleoncentral.com/?utm_source=gmb&utm_medium=organic,user@domain.com
"Marisol Vista Apartment Homes","1280 102nd Ave N, St. Petersburg, FL 33716, USA","(727) 485-9567",https://livebh.com/apartments/marisol-vista-apartment-homes/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp,
"Snell Isle Apartments","1515 Eden Isle Blvd NE, St. Petersburg, FL 33704, USA","(727) 894-4300",http://www.snellisleapartments.com/,
"The Courtney at Bay Pines Apartments","4652 Miramar Dr, St. Petersburg, FL 33708, USA","(727) 334-7082",https://gscapts.com/apartments/florida/the-courtney-at-bay-pines/?state_page=true&y_source=1_MTUyOTEzMjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
"Marlowe Gateway","2790 Grand Ave, St. Petersburg, FL 33716, USA","(727) 428-6651",https://livemarlowegateway.com/?switch_cls[id]=64893&utm_source=gmb&utm_medium=organic,
"Gallery 3100","3100 Central Ave, St. Petersburg, FL 33712, USA","(877) 395-0004",http://www.gallery3100.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Isles of Gateway","10600 4th St N, St. Petersburg, FL 33716, USA","(727) 214-3526",https://www.islesofgatewayapts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Reserve at Lake Pointe Apartment Homes","5800 Lynn Lake Dr S, St. Petersburg, FL 33712, USA","(727) 746-5289",https://www.morgan-properties.com/apartments/fl/st-petersburg/reserve-at-lake-pointe/,
"Nordica Bay Apartments","120 47th Ave N, St. Petersburg, FL 33703, USA","(727) 388-6881",http://nb.prospectportal.com/,
"Veranda Flats","3700 9th Ave N, St. Petersburg, FL 33713, USA","(727) 323-2800",https://www.apartments.com/veranda-flats-saint-petersburg-fl/ks2syyb/,
"Flagler Pointe Apartments","2540 Roy Hanna Dr S, St. Petersburg, FL 33712, USA","(727) 866-2488",https://www.flaglerpointe-apartments.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D+&utm_source=GMB&utm_medium=organic,"flagler@greenhomemanagement.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
"Spring Lake Apartment Homes","6401 31st St S, St. Petersburg, FL 33712, USA","(727) 867-7002",https://www.rentcafe.com/apartments/fl/st.-petersburg/spring-lake-apartment-homes-community-center/default.aspx?p=1&nocache=1,
"Beacon 430","430 3rd Ave S, St. Petersburg, FL 33701, USA","(727) 618-7023",https://www.bozzuto.com/apartments-for-rent/fl/st.-petersburg/beacon-430?utm_source=GoogleLocalListing&utm_medium=organic&utm_campaign=Beacon430_GoogleLocalListing,
"Urban Core Properties","725 4th St N, St. Petersburg, FL 33701, USA","(727) 824-7091",https://www.urbancoreprops.com/,info@urbancoreprops.com
"Osprey Pointe Apartment Homes","1900 55th Ave S, St. Petersburg, FL 33712, USA","(727) 864-1513",https://www.liveospreypointe.com/?utm_source=GBPListings&utm_medium=organic&utm_campaign=1900-55th-ave-s-st-petersburg-florida,"manager@liveospreypointe.com, info@wellermgt.com"
"Park & Main Apartments | Premier Bay View Living","221 Main St N, St. Petersburg, FL 33716, USA","(727) 761-5543",https://www.liveparkandmain.com/?utm_source=gmb&utm_medium=organic,user@domain.com
Arte,"1661 Central Ave, St. Petersburg, FL 33713, USA","(727) 855-8170",https://www.artebyavanti.com/?utm_source=google,"dpo@engrain.com, artestpeteinfo@avantiresidential.com"
"The Meadows","785 117th Terrace N, St. Petersburg, FL 33716, USA","(727) 966-2748",http://www.meadowsstpete.com/?utm_knock=orgs,"manager@meadowsstpete.com, info@liveweller.com"
"West Port Colony","190 112th Ave N, St. Petersburg, FL 33716, USA","(727) 677-5884",https://www.gables.com/community/1103849?utm_knock=gmb,
Wyngate,"390 112th Ave N, St. Petersburg, FL 33716, USA","(727) 428-3593",https://www.livewyngate.com/?utm_knock=orgs,"marketing@livebryten.com, manager@wyngate.com"
"Levi Apartments","10491 Gandy Blvd N, St. Petersburg, FL 33702, USA","(727) 388-1706",https://www.theleviapts.com/,accessibility@apartments247.com
"TGM Ibis Walk","871 Ibis Walk Pl N, St. Petersburg, FL 33716, USA","(844) 629-7934",https://tgmibiswalk.com/,
"The Pearl on First Apartments","131 41st Ave N, St. Petersburg, FL 33703, USA","(727) 504-0500",http://www.thepearlonfirst.com/,
"Aura @ 4th","10980 Oak St NE, St. Petersburg, FL 33716, USA","(727) 761-5077",https://www.auraatfourthapts.com/?utm_source=gmb&utm_medium=organic,user@domain.com
"The Addison Skyway Marina","3951 34th St S, St. Petersburg, FL 33711, USA","(844) 793-2269",https://www.missionrockresidential.com/apartments/fl/st-petersburg/addison-skyway-marina/?utm_source=GBP&utm_medium=Listing&utm_campaign=Reputation+Listings,
"Alta Mar at Broadwater Apartments","3901 38th Ave S, St. Petersburg, FL 33711, USA","(833) 824-0414",https://www.pacificaresidential-altamar.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Calais Park Apartments","5800 Calais Ln, St. Petersburg, FL 33714, USA","(727) 509-8508",https://www.calaisparkapts.com/?switch_cls[id]=101204,
"Milo Bayside","509 77th Ave N, St. Petersburg, FL 33702, USA","(727) 577-5565",https://www.milobayside.com/?utm_source=gbp&utm_medium=organic&utm_knock=g&cpm=gbp,tessa.ee@assetliving-leasing.com
"Modera St. Petersburg","201 17th St S, St. Petersburg, FL 33712, USA","(727) 220-5202",https://www.moderastpetersburg.com/?switch_cls[id]=95005&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,
"Peridot Palms","10601 Gandy Blvd N, St. Petersburg, FL 33702, USA","(727) 369-9838",https://www.udr.com/tampa-apartments/st-petersburg/peridot-palms/,"dublinbmr@udr.com, beachandoceanbmr@udr.com, bellaterrabmr@udr.com, jamboreebmr@udr.com, losalisosbmr@udr.com, citylinebmr@udr.com, highlandsofmarinbmr@udr.com, maaffordablehousing@udr.com, support@gigstreem.com, peridotpalms@udr.com, 101nmeridian@udr.com"
"Fountain Court Apartments","600 40th St N, St. Petersburg, FL 33713, USA",,https://www.fountaincourtvilla.com/,
"Mandalay on 4th at Baypointe Preserve","11901 4th St N, St. Petersburg, FL 33716, USA","(844) 897-4086",https://www.mandalayon4thapts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Urban Landings","300 4th Ave S, St. Petersburg, FL 33701, USA","(844) 435-8231",https://www.urbanlandingsapts.com/,
"The Allure at Gateway","8851 US Hwy 19 N, Pinellas Park, FL 33782, USA","(727) 339-6258",https://alluregateway.com/?y_source=1_MTgwOTY0NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Woodlawn,"1646 18th Ave N, St. Petersburg, FL 33713, USA","(727) 334-8496",https://www.woodlawnparkfl.com//?utm_source=online-business-listings&utm_medium=directories&utm_campaign=,"community-hkngr@aptprospect.com, woodlawn@respropmanagement.com"
"The Sands at Clearwater","2168 Druid Rd, Clearwater, FL 33765, USA","(727) 717-1236",https://sandsatclearwaterapartments.com/?switch_cls[id]=64893&utm_source=gmb&utm_medium=organic,
"Windsor Clearwater Apartments","2031 Glass Loop, Clearwater, FL 33763, USA","(727) 339-5623",https://www.windsorcommunities.com/properties/windsor-clearwater/,"grace@windsorcommunities.com, clearwater@windsorcommunities.com, email@address.com, email@example.com, carleneg40@gmail.com, mariano79@gmail.com, marianocg7@gmail.com, mariano42@gmail.com, marianog9@gmail.com, wecare@windsorcommunities.com, mgarcia46@gmail.com"
"Arabelle Clearwater","1320 Sands Ter E, Clearwater, FL 33764, USA","(727) 286-3119",https://www.arabelleclearwater.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic,
"Terraces at Clearwater Beach","1121 Druid Rd, Clearwater, FL 33756, USA","(727) 441-3939",https://www.terracesatclearwaterbeach.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-profile,
"The Alexander at Countryside Apartments","2524 Alexander Pl, Clearwater, FL 33763, USA","(727) 314-8700",https://www.alexanderatcountryside.com/?utm_source=google+local&utm_medium=organic&utm_campaign=website+link+beacon,
"The Pointe at Clearwater","2554 Oak Trail S, Clearwater, FL 33764, USA","(727) 536-6375",http://www.thepointeatclearwater.com/,
"The Grand Reserve at Park Isle Apartments","2600 W Grand Reserve Cir, Clearwater, FL 33759, USA","(727) 339-2385",https://gscapts.com/apartments/florida/grand-reserve/?state_page=true&y_source=1_MTUyOTEzMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
"Bayside Arbors of Clearwater Apartments","2729 Seville Blvd, Clearwater, FL 33764, USA","(727) 597-5592",https://baysidearborsclearwater.com/?utm_source=google&utm_medium=organic,
"The District at Clearwater","3021 FL-590, Clearwater, FL 33759, USA","(727) 353-5413",https://thedistrictclearwater.com/?utm_knock=g,
"Town Place Apartments","2545 NE Coachman Rd, Clearwater, FL 33765, USA","(866) 303-4734",https://www.townplaceapts.com/,
"Avana Lakeview","2550 Stag Run Blvd, Clearwater, FL 33765, USA","(727) 287-3250",https://www.avanalakeview.com/?switch_cls[id]=64893&utm_source=gmb&utm_medium=organic,
"Camden Clearwater Apartments","19355 US Hwy 19 N, Clearwater, FL 33764, USA","(727) 269-5116",https://www.camdenliving.com/apartments/clearwater-fl/camden-clearwater?utm_source=google&utm_medium=google&utm_campaign=camden-clearwater&y_source=1_MjAxNDE4MTI5My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,clearwater@camdenliving.com
"The Indigo Apartments","801 Chestnut St, Clearwater, FL 33756, USA","(727) 447-5701",https://www.theindigoclearwater.com/,
"Bluestone on the Bay","19135 US Hwy 19 N, Clearwater, FL 33764, USA","(727) 306-2667",https://liveatbluestoneapts.com/?ilm=obl&utm_source=gmb&utm_medium=organic,
"Vue at Belleair","1551 Flournoy Cir W, Clearwater, FL 33764, USA","(727) 655-9271",https://www.vueatbelleairapts.com/?ilm=obl&utm_source=gmb&utm_medium=organic,
"Peninsula At Northwood","2690 Enterprise Rd E, Clearwater, FL 33759, USA","(727) 496-6897",https://www.peninsulatnorthwood.com/?utm_knock=g,
"Palms at Countryside","25350 US Hwy 19 N, Clearwater, FL 33763, USA","(866) 968-9089",http://www.palmsatcountryside.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,
"Estates at Countryside","2652 McMullen Booth Rd, Clearwater, FL 33761, USA","(727) 726-3558",https://www.liveestatesatcountrysideapts.com/,
"Avana City Park","101 S Old Coachman Rd, Clearwater, FL 33765, USA","(727) 509-8473",https://www.avanacitypark.com/?switch_cls[id]=64893&utm_source=gmb&utm_medium=organic,
